user_input,retrieved_contexts,response,reference,context_recall,faithfulness,factual_correctness,answer_relevancy
My landlord refused to rent to me because I have two young children. Is that legal anywhere in the U.S.?,[],"Error: status_code: 429, body: data=None id='af2f207b-534f-4764-a833-cd3c7f7a6366' message=""You are using a Trial key, which is limited to 10 API calls / minute. You can continue to use the Trial key for free or upgrade to a Production key with higher rate limits at 'https://dashboard.cohere.com/api-keys'. Contact us on 'https://discord.gg/XW44jPfYJu' or email us at support@cohere.com with any questions""",No. Refusing to rent based on familial status (having children under 18) violates the federal Fair Housing Act and is illegal in all 50 states.,0.0,0.0,0.0,0.1008154204253594
I use a wheelchair and need to install grab bars in my bathroom. Can my landlord say no?,[],"Error: status_code: 429, body: data=None id='ac51d895-c9fa-4115-87ef-9f86ddeb09f1' message=""You are using a Trial key, which is limited to 10 API calls / minute. You can continue to use the Trial key for free or upgrade to a Production key with higher rate limits at 'https://dashboard.cohere.com/api-keys'. Contact us on 'https://discord.gg/XW44jPfYJu' or email us at support@cohere.com with any questions""","No. Under the Fair Housing Act, landlords must allow reasonable modifications at the tenant’s expense for disabilities. They cannot unreasonably deny such requests.",0.0,0.0,,0.06049823754189373
Is it legal for a rental ad to say 'perfect for young professionals'?,[],"Error: status_code: 429, body: data=None id='fdeea16b-cf2b-4426-af70-80d61b8775c1' message=""You are using a Trial key, which is limited to 10 API calls / minute. You can continue to use the Trial key for free or upgrade to a Production key with higher rate limits at 'https://dashboard.cohere.com/api-keys'. Contact us on 'https://discord.gg/XW44jPfYJu' or email us at support@cohere.com with any questions""","No. This implies a preference against families with children, which violates the Fair Housing Act’s prohibition on discrimination based on familial status.",0.0,0.0,0.0,0.11524921531692008
"My landlord says emotional support animals aren’t allowed,  but I have a doctor’s note. What are my rights?",[],"Error: status_code: 429, body: data=None id='42676138-4aec-4db6-b174-2736cdbf47ee' message=""You are using a Trial key, which is limited to 10 API calls / minute. You can continue to use the Trial key for free or upgrade to a Production key with higher rate limits at 'https://dashboard.cohere.com/api-keys'. Contact us on 'https://discord.gg/XW44jPfYJu' or email us at support@cohere.com with any questions""","You have the right to a reasonable accommodation for an emotional support animal (ESA) under the Fair Housing Act, even in “no pets” buildings. The landlord cannot charge a pet fee, but you must provide documentation from a healthcare professional.",0.0,0.0,0.0,0.11002363018836991
I’m on Section 8 in Chicago. My landlord says the unit failed inspection—how long do they have to fix it?,[],"Error: status_code: 429, body: data=None id='1a4066a4-0d86-41ef-bde2-326e7612af9e' message=""You are using a Trial key, which is limited to 10 API calls / minute. You can continue to use the Trial key for free or upgrade to a Production key with higher rate limits at 'https://dashboard.cohere.com/api-keys'. Contact us on 'https://discord.gg/XW44jPfYJu' or email us at support@cohere.com with any questions""","For HUD Housing Quality Standards (HQS) violations, landlords generally have 30 days to complete repairs. For life-threatening issues (e.g., gas leaks, no heat in winter), they must act within 24 hours.",0.0,0.0,0.0,0.0
I got a pay raise. How soon do I need to report it to my Public Housing Authority?,[],"Error: status_code: 429, body: data=None id='54cd65a7-1e0e-415d-8958-0977b9ec6068' message=""You are using a Trial key, which is limited to 10 API calls / minute. You can continue to use the Trial key for free or upgrade to a Production key with higher rate limits at 'https://dashboard.cohere.com/api-keys'. Contact us on 'https://discord.gg/XW44jPfYJu' or email us at support@cohere.com with any questions""","You must report changes in income, household size, or address to your PHA within 10 days. Failure to do so can result in overpayment bills or loss of assistance.",0.0,0.0,0.0,0.0
Can my PHA evict me without a hearing if I’m late on my portion of the rent?,[],"Error: status_code: 429, body: data=None id='7c71c093-b3a5-47b9-9eb3-9efd342cf54e' message=""You are using a Trial key, which is limited to 10 API calls / minute. You can continue to use the Trial key for free or upgrade to a Production key with higher rate limits at 'https://dashboard.cohere.com/api-keys'. Contact us on 'https://discord.gg/XW44jPfYJu' or email us at support@cohere.com with any questions""",No. You have the right to a formal grievance hearing before your PHA can evict you for nonpayment or other lease violations. Due process is required in all HUD programs.,0.0,0.0,0.0,0.04673977317244974
Which state offers stronger rent control: California or Texas?,[],"Error: status_code: 429, body: data=None id='b0476734-e8df-46b2-a503-ef320997438e' message=""You are using a Trial key, which is limited to 10 API calls / minute. You can continue to use the Trial key for free or upgrade to a Production key with higher rate limits at 'https://dashboard.cohere.com/api-keys'. Contact us on 'https://discord.gg/XW44jPfYJu' or email us at support@cohere.com with any questions""",California offers significantly stronger rent control. It has a statewide rent cap (max 10% increase/year) and “just cause” eviction protections. Texas has no rent control and allows rent increases with only 30 days’ notice.,0.0,0.0,0.0,0.0587544394684201
"If I live in a HUD-subsidized apartment in California,  which rules apply—federal",[],"Error: status_code: 429, body: data=None id='e9719857-59ce-4048-bddc-3d7647ff2679' message=""You are using a Trial key, which is limited to 10 API calls / minute. You can continue to use the Trial key for free or upgrade to a Production key with higher rate limits at 'https://dashboard.cohere.com/api-keys'. Contact us on 'https://discord.gg/XW44jPfYJu' or email us at support@cohere.com with any questions""","All three layers apply, but federal HUD rules govern subsidy terms (rent calculation, inspections), while California and local laws still protect your rights as a tenant (e.g., habitability, security deposits). The most protective rule usually prevails.",0.0,0.0,0.0,0.060926955720316
"My landlord in San Antonio won’t fix a broken heater in January. Would the rules be different if I lived in San Francisco?  State,  or local?",[],"Error: status_code: 429, body: data=None id='0c2867ba-83d9-4065-a306-8d7d817ca437' message=""You are using a Trial key, which is limited to 10 API calls / minute. You can continue to use the Trial key for free or upgrade to a Production key with higher rate limits at 'https://dashboard.cohere.com/api-keys'. Contact us on 'https://discord.gg/XW44jPfYJu' or email us at support@cohere.com with any questions""","Yes. In Texas, you’d need to give written notice and allow a “reasonable time” (likely 7 days for urgent heat issues) before using remedies like repair-and-deduct. In California, the landlord must fix habitability issues within 30 days (sooner for emergencies), and retaliation is strictly prohibited. California also offers stronger enforcement through local housing authorities.",0.0,0.0,0.0,0.0
