question_id,question,answer,ground_truth_answer,contexts,reference_context
Q11,My landlord refused to rent to me because I have two young children. Is that legal anywhere in the U.S.?,"Based on the provided context, it is not legal anywhere in the U.S. for a landlord to refuse to rent to someone because they have children under 18. The Fair Housing Act protects familial status, including having children under 18, and prohibits discrimination in all aspects of housing, including rental decisions. For example, landlords cannot charge higher deposits or refuse housing to families with children. Therefore, refusing to rent because you have two young children would be discriminatory and illegal.",No. Refusing to rent based on familial status (having children under 18) violates the federal Fair Housing Act and is illegal in all 50 states.,[],"It is illegal to discriminate based on... familial status (having children under 18)... A landlord cannot refuse to rent to someone because they are... pregnant, or have children."
Q12,I use a wheelchair and need to install grab bars in my bathroom. Can my landlord say no?,"No, your landlord cannot say no. People with disabilities have additional rights, and landlords must allow reasonable modifications to the unit, such as installing grab bars, even if the tenant pays for them.","No. Under the Fair Housing Act, landlords must allow reasonable modifications at the tenant’s expense for disabilities. They cannot unreasonably deny such requests.",[],Landlords must allow reasonable modifications to the unit (like installing grab bars) at the tenant’s expense.
Q13,Is it legal for a rental ad to say 'perfect for young professionals'?,"No, it is not legal. Rental advertisements cannot state preferences like “ideal for single professionals” or “no kids,” as these imply discrimination.","No. This implies a preference against families with children, which violates the Fair Housing Act’s prohibition on discrimination based on familial status.",[],"Advertisements cannot state preferences like 'ideal for single professionals' or 'no kids,' as these imply discrimination."
Q14,"My landlord says emotional support animals aren’t allowed,  but I have a doctor’s note. What are my rights?","Based on the provided context from the Fair Housing Act Summary, landlords must make reasonable accommodations in rules or policies for people with disabilities. This includes allowing service animals in buildings that have a “no pets” policy. Emotional support animals are typically covered under these reasonable accommodations if you have proper documentation, such as a doctor's note.

Therefore, even if your landlord says emotional support animals aren’t allowed, if you have a doctor’s note, your landlord is generally required to allow your emotional support animal as a reasonable accommodation.","You have the right to a reasonable accommodation for an emotional support animal (ESA) under the Fair Housing Act, even in “no pets” buildings. The landlord cannot charge a pet fee, but you must provide documentation from a healthcare professional.",[],Landlords must... make reasonable accommodations in rules or policies—such as allowing a service animal in a 'no pets' building.
Q15,I’m on Section 8 in Chicago. My landlord says the unit failed inspection—how long do they have to fix it?,"If your unit fails a Housing Quality Standards (HQS) inspection under Section 8, your landlord or Public Housing Authority (PHA) must fix HQS violations within 30 days. For life-threatening issues like gas leaks, they must make repairs within 24 hours.","For HUD Housing Quality Standards (HQS) violations, landlords generally have 30 days to complete repairs. For life-threatening issues (e.g., gas leaks, no heat in winter), they must act within 24 hours.",[],"They must fix HQS violations within 30 days, or 24 hours for life-threatening issues like gas leaks."
Q16,I got a pay raise. How soon do I need to report it to my Public Housing Authority?,You must report changes in income to your Public Housing Authority (PHA) within 10 days.,"You must report changes in income, household size, or address to your PHA within 10 days. Failure to do so can result in overpayment bills or loss of assistance.",[],"You must report changes in income, household size, or address to your PHA within 10 days."
Q17,Can my PHA evict me without a hearing if I’m late on my portion of the rent?,"Based on the provided context, you have the right to a formal grievance hearing before your PHA makes major decisions affecting your tenancy, including eviction. Therefore, your PHA cannot evict you without a hearing if you are late on your portion of the rent.",No. You have the right to a formal grievance hearing before your PHA can evict you for nonpayment or other lease violations. Due process is required in all HUD programs.,[],"You have the right to a formal grievance hearing before your PHA makes major decisions affecting your tenancy, including eviction."
Q18,Which state offers stronger rent control: California or Texas?,"California offers stronger rent control. According to the context, California has a statewide rent cap limiting rent increases to no more than 5% plus the local Consumer Price Index (CPI), with a maximum total increase of 10% per year. Local rent control ordinances in cities like Los Angeles, San Francisco, and Oakland may offer even stronger protections. In contrast, Texas does not have rent control, and landlords may increase rent by any amount as long as they give proper notice.",California offers significantly stronger rent control. It has a statewide rent cap (max 10% increase/year) and “just cause” eviction protections. Texas has no rent control and allows rent increases with only 30 days’ notice.,[],(From CA doc) Rent increases are limited... max 10% per year. + (From TX doc) Texas does not have rent control. Landlords may increase rent by any amount...
Q19,"If I live in a HUD-subsidized apartment in California,  which rules apply—federal","If you live in a HUD-subsidized apartment in California, both federal rules and California state laws apply. 

Federal rules include your rights under HUD programs, such as the right to a safe, decent, and sanitary home that meets HUD’s Housing Quality Standards (HQS), requirements for inspections and recertifications, and protections under the Fair Housing Act against discrimination. You are also responsible for paying rent on time, keeping your unit clean, and notifying your Public Housing Agency (PHA) of changes.

At the same time, California state laws provide additional tenant protections such as rent control limits (5% plus CPI with a maximum 10% increase per year on certain properties), the right to a habitable home under Civil Code Section 1941 (landlord must maintain essential services and repair serious issues promptly), and regulations on security deposits.

Therefore, tenants in HUD-subsidized apartments in California are covered by both federal HUD regulations and California state tenant protection laws, as well as any applicable local ordinances.","All three layers apply, but federal HUD rules govern subsidy terms (rent calculation, inspections), while California and local laws still protect your rights as a tenant (e.g., habitability, security deposits). The most protective rule usually prevails.",[],"(HUD doc) You have the right to a safe, decent, and sanitary home that meets HUD’s Housing Quality Standards. + (CA doc) Your right to a habitable home is guaranteed under Civil Code Section 1941."
Q20,"My landlord in San Antonio won’t fix a broken heater in January. Would the rules be different if I lived in San Francisco?  State,  or local?","Yes, the rules would be different. According to the context, Texas landlords (including those in San Antonio) must maintain the rental unit in a condition that complies with local health and safety codes, including operable heating systems during extreme weather. If the landlord fails to make necessary repairs, tenants may have options like repair and deduct or lease termination after notice.

In contrast, San Francisco is in California, which has statewide tenant protections including rent control and strong habitability laws. California law requires landlords to maintain essential services like heat, and local rent control ordinances in cities like San Francisco may offer even stronger protections. Therefore, the regulations and tenant remedies in San Francisco (California) would generally provide stronger tenant protections regarding repairs than those in San Antonio (Texas).","Yes. In Texas, you’d need to give written notice and allow a “reasonable time” (likely 7 days for urgent heat issues) before using remedies like repair-and-deduct. In California, the landlord must fix habitability issues within 30 days (sooner for emergencies), and retaliation is strictly prohibited. California also offers stronger enforcement through local housing authorities.",[],"(TX) Urgent issues like no heat in winter require faster action... usually 7 days for urgent issues. + (CA) Landlords must maintain the rental unit in a condition fit for human occupation... They generally have 30 days to make repairs, though urgent issues... require faster action."
